row_index,source_file,sheet_name,label,value_column,old_period,new_period,repair_method
568,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Debt,Unlabeled row,الدين الداخلي Domestic Debt,الدين الداخلي Domestic Debt,Q1,inferred_from_source_file
569,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Debt,Unlabeled row,الدين الخارجي External Debt,الدين الخارجي External Debt,Q1,inferred_from_source_file
570,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Debt,Unlabeled row,الدين العام,الدين العام,Q1,inferred_from_source_file
571,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Debt,Unlabeled row,Public Debt,Public Debt,Q1,inferred_from_source_file
572,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Debt,إطفاء سندات حكومية | Amortization of Government Bonds,الدين الداخلي Domestic Debt,الدين الداخلي Domestic Debt,Q1,inferred_from_source_file
573,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Debt,إطفاء سندات حكومية | Amortization of Government Bonds,الدين الخارجي External Debt,الدين الخارجي External Debt,Q1,inferred_from_source_file
574,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Debt,الإصدارات أو الاقتراض | Issuances or Borrowings,الدين الداخلي Domestic Debt,الدين الداخلي Domestic Debt,Q1,inferred_from_source_file
575,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Debt,الإصدارات أو الاقتراض | Issuances or Borrowings,الدين الخارجي External Debt,الدين الخارجي External Debt,Q1,inferred_from_source_file
576,2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Debt,الإصدارات أو الاقتراض | Issuances or Borrowings,الدين الداخلي Domestic Debt,الدين الداخلي Domestic Debt,Q3,inferred_from_source_file
577,2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Debt,الإصدارات أو الاقتراض | Issuances or Borrowings,الدين الداخلي Domestic Debt,الدين الداخلي Domestic Debt,Q4,inferred_from_source_file
578,2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Debt,الإصدارات أو الاقتراض | Issuances or Borrowings,الدين الخارجي External Debt,الدين الخارجي External Debt,Q4,inferred_from_source_file
579,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Debt,الرصيد آخر الفترة | End of Period Balance,الدين الداخلي Domestic Debt,الدين الداخلي Domestic Debt,Q1,inferred_from_source_file
580,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Debt,الرصيد آخر الفترة | End of Period Balance,الدين الخارجي External Debt,الدين الخارجي External Debt,Q1,inferred_from_source_file
581,2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Debt,الرصيد آخر الفترة | End of Period Balance,الدين الداخلي Domestic Debt,الدين الداخلي Domestic Debt,Q3,inferred_from_source_file
582,2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Debt,الرصيد آخر الفترة | End of Period Balance,الدين الخارجي External Debt,الدين الخارجي External Debt,Q3,inferred_from_source_file
583,2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Debt,الرصيد آخر الفترة | End of Period Balance,الدين الداخلي Domestic Debt,الدين الداخلي Domestic Debt,Q4,inferred_from_source_file
584,2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Debt,الرصيد آخر الفترة | End of Period Balance,الدين الخارجي External Debt,الدين الخارجي External Debt,Q4,inferred_from_source_file
585,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Debt,الرصيد أول الفترة | Beginning of Period Balance,الدين الداخلي Domestic Debt,الدين الداخلي Domestic Debt,Q1,inferred_from_source_file
586,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Debt,سداد أصل الدين | Principal Repayment,الدين الداخلي Domestic Debt,الدين الداخلي Domestic Debt,Q1,inferred_from_source_file
587,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Debt,سداد أصل الدين | Principal Repayment,الدين الخارجي External Debt,الدين الخارجي External Debt,Q1,inferred_from_source_file
588,2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Debt,سداد أصل الدين | Principal Repayment,الدين الداخلي Domestic Debt,الدين الداخلي Domestic Debt,Q3,inferred_from_source_file
589,2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Debt,سداد أصل الدين | Principal Repayment,الدين الخارجي External Debt,الدين الخارجي External Debt,Q3,inferred_from_source_file
590,2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Debt,سداد أصل الدين | Principal Repayment,الدين الداخلي Domestic Debt,الدين الداخلي Domestic Debt,Q4,inferred_from_source_file
591,2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Debt,سداد أصل الدين | Principal Repayment,الدين الخارجي External Debt,الدين الخارجي External Debt,Q4,inferred_from_source_file
592,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,Unlabeled row,Column_3,Column_3,Q1,inferred_from_source_file
593,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,Unlabeled row,Column_4,Column_4,Q1,inferred_from_source_file
594,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,Unlabeled row,Column_2,Column_2,Q1,inferred_from_source_file
595,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,Unlabeled row,Column_3,Column_3,Q1,inferred_from_source_file
596,2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Expenditures,Unlabeled row,Total,Total,Q3,inferred_from_source_file
597,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,استخدام السلع والخدمات,Column_2,Column_2,Q1,inferred_from_source_file
598,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,استخدام السلع والخدمات,Column_3,Column_3,Q1,inferred_from_source_file
599,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,استخدام السلع والخدمات,Column_4,Column_4,Q1,inferred_from_source_file
600,2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Expenditures,استخدام السلع والخدمات,Total,Total,Q3,inferred_from_source_file
601,2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Expenditures,استخدام السلع والخدمات,Total,Total,Q3,inferred_from_source_file
602,2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Expenditures,استخدام السلع والخدمات,Total,Total,Q3,inferred_from_source_file
603,2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Expenditures,استخدام السلع والخدمات,Total,Total,Q4,inferred_from_source_file
604,2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Expenditures,استخدام السلع والخدمات,Total,Total,Q4,inferred_from_source_file
605,2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Expenditures,استخدام السلع والخدمات | Use of Goods and Services,Total,Total,Q4,inferred_from_source_file
606,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,اسم القطاع | Sector,Column_2,Column_2,Q1,inferred_from_source_file
607,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,اسم القطاع | Sector,Column_3,Column_3,Q1,inferred_from_source_file
608,2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Expenditures,اسم القطاع | Sector,Total,Total,Q3,inferred_from_source_file
609,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,الأصول غير المالية (رأسمالي),Column_2,Column_2,Q1,inferred_from_source_file
610,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,الأصول غير المالية (رأسمالي),Column_3,Column_3,Q1,inferred_from_source_file
611,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,الأصول غير المالية (رأسمالي),Column_4,Column_4,Q1,inferred_from_source_file
612,2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Expenditures,الأصول غير المالية (رأسمالي),Total,Total,Q3,inferred_from_source_file
613,2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Expenditures,الأصول غير المالية (رأسمالي),Total,Total,Q3,inferred_from_source_file
614,2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Expenditures,الأصول غير المالية (رأسمالي),Total,Total,Q3,inferred_from_source_file
615,2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Expenditures,الأصول غير المالية (رأسمالي),Total,Total,Q4,inferred_from_source_file
616,2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Expenditures,الأصول غير المالية (رأسمالي),Total,Total,Q4,inferred_from_source_file
617,2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Expenditures,الأصول غير المالية (رأسمالي) | Non-financial Assets (CAPEX),Total,Total,Q4,inferred_from_source_file
618,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,الأمن والمناطق الإدارية | Security and Regional Administration,Column_2,Column_2,Q1,inferred_from_source_file
619,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,الأمن والمناطق الإدارية | Security and Regional Administration,Column_3,Column_3,Q1,inferred_from_source_file
620,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,الأمن والمناطق الإدارية | Security and Regional Administration,Column_4,Column_4,Q1,inferred_from_source_file
621,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,الأمن والمناطق الإدارية | Security and Regional Administration,Column_6,Column_6,Q1,inferred_from_source_file
622,2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Expenditures,الأمن والمناطق الإدارية | Security and Regional Administration,Total,Total,Q3,inferred_from_source_file
623,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,الإجمالـــــــــــي,Column_2,Column_2,Q1,inferred_from_source_file
624,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,الإجمالـــــــــــي,Column_3,Column_3,Q1,inferred_from_source_file
625,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,الإجمالـــــــــــي,Column_4,Column_4,Q1,inferred_from_source_file
626,2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Expenditures,الإجمالـــــــــــي,Total,Total,Q3,inferred_from_source_file
627,2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Expenditures,الإجمالـــــــــــي,Total,Total,Q3,inferred_from_source_file
628,2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Expenditures,الإجمالـــــــــــي,Total,Total,Q4,inferred_from_source_file
629,2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Expenditures,الإجمالـــــــــــي,Total,Total,Q4,inferred_from_source_file
630,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,الإجمالـــــــــــي | Total,Column_2,Column_2,Q1,inferred_from_source_file
631,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,الإجمالـــــــــــي | Total,Column_3,Column_3,Q1,inferred_from_source_file
632,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,الإجمالـــــــــــي | Total,Column_4,Column_4,Q1,inferred_from_source_file
633,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,الإجمالـــــــــــي | Total,Column_6,Column_6,Q1,inferred_from_source_file
634,2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Expenditures,الإجمالـــــــــــي | Total,Total,Total,Q3,inferred_from_source_file
635,2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Expenditures,الإجمالي,Total,Total,Q3,inferred_from_source_file
636,2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Expenditures,الإجمالي | Total,Total,Total,Q4,inferred_from_source_file
637,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,الإدارة العامة | Public Administration,Column_2,Column_2,Q1,inferred_from_source_file
638,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,الإدارة العامة | Public Administration,Column_3,Column_3,Q1,inferred_from_source_file
639,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,الإدارة العامة | Public Administration,Column_4,Column_4,Q1,inferred_from_source_file
640,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,الإدارة العامة | Public Administration,Column_6,Column_6,Q1,inferred_from_source_file
641,2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Expenditures,الإدارة العامة | Public Administration,Total,Total,Q3,inferred_from_source_file
642,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,الإعانات,Column_2,Column_2,Q1,inferred_from_source_file
643,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,الإعانات,Column_3,Column_3,Q1,inferred_from_source_file
644,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,الإعانات,Column_4,Column_4,Q1,inferred_from_source_file
645,2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Expenditures,الإعانات,Total,Total,Q3,inferred_from_source_file
646,2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Expenditures,الإعانات,Total,Total,Q3,inferred_from_source_file
647,2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Expenditures,الإعانات,Total,Total,Q3,inferred_from_source_file
648,2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Expenditures,الإعانات,Total,Total,Q4,inferred_from_source_file
649,2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Expenditures,الإعانات,Total,Total,Q4,inferred_from_source_file
650,2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Expenditures,الإعانات | Subsidies,Total,Total,Q4,inferred_from_source_file
651,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,البنود العامة | General Items,Column_2,Column_2,Q1,inferred_from_source_file
652,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,البنود العامة | General Items,Column_3,Column_3,Q1,inferred_from_source_file
653,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,البنود العامة | General Items,Column_4,Column_4,Q1,inferred_from_source_file
654,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,البنود العامة | General Items,Column_6,Column_6,Q1,inferred_from_source_file
655,2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Expenditures,البنود العامة | General Items,Total,Total,Q3,inferred_from_source_file
656,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,التجهيزات الأساسية والنقل | Infrastructure and Transportation,Column_2,Column_2,Q1,inferred_from_source_file
657,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,التجهيزات الأساسية والنقل | Infrastructure and Transportation,Column_3,Column_3,Q1,inferred_from_source_file
658,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,التجهيزات الأساسية والنقل | Infrastructure and Transportation,Column_4,Column_4,Q1,inferred_from_source_file
659,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,التجهيزات الأساسية والنقل | Infrastructure and Transportation,Column_6,Column_6,Q1,inferred_from_source_file
660,2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Expenditures,التجهيزات الأساسية والنقل | Infrastructure and Transportation,Total,Total,Q3,inferred_from_source_file
661,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,التعليم | Education,Column_2,Column_2,Q1,inferred_from_source_file
662,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,التعليم | Education,Column_3,Column_3,Q1,inferred_from_source_file
663,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,التعليم | Education,Column_4,Column_4,Q1,inferred_from_source_file
664,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,التعليم | Education,Column_6,Column_6,Q1,inferred_from_source_file
665,2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Expenditures,التعليم | Education,Total,Total,Q3,inferred_from_source_file
666,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,الخدمات البلدية | Municipal Services,Column_2,Column_2,Q1,inferred_from_source_file
667,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,الخدمات البلدية | Municipal Services,Column_3,Column_3,Q1,inferred_from_source_file
668,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,الخدمات البلدية | Municipal Services,Column_4,Column_4,Q1,inferred_from_source_file
669,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,الخدمات البلدية | Municipal Services,Column_6,Column_6,Q1,inferred_from_source_file
670,2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Expenditures,الخدمات البلدية | Municipal Services,Total,Total,Q3,inferred_from_source_file
671,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,الصحة والتنمية الاجتماعية | Health & Social Development,Column_2,Column_2,Q1,inferred_from_source_file
672,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,الصحة والتنمية الاجتماعية | Health & Social Development,Column_3,Column_3,Q1,inferred_from_source_file
673,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,الصحة والتنمية الاجتماعية | Health & Social Development,Column_4,Column_4,Q1,inferred_from_source_file
674,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,الصحة والتنمية الاجتماعية | Health & Social Development,Column_6,Column_6,Q1,inferred_from_source_file
675,2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Expenditures,الصحة والتنمية الاجتماعية | Health & Social Development,Total,Total,Q3,inferred_from_source_file
676,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,العسكري | Military,Column_2,Column_2,Q1,inferred_from_source_file
677,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,العسكري | Military,Column_3,Column_3,Q1,inferred_from_source_file
678,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,العسكري | Military,Column_4,Column_4,Q1,inferred_from_source_file
679,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,العسكري | Military,Column_6,Column_6,Q1,inferred_from_source_file
680,2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Expenditures,العسكري | Military,Total,Total,Q3,inferred_from_source_file
681,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,المصروفات*,Column_3,Column_3,Q1,inferred_from_source_file
682,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,المصروفات*,Column_4,Column_4,Q1,inferred_from_source_file
683,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,المنافع الاجتماعية,Column_2,Column_2,Q1,inferred_from_source_file
684,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,المنافع الاجتماعية,Column_3,Column_3,Q1,inferred_from_source_file
685,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,المنافع الاجتماعية,Column_4,Column_4,Q1,inferred_from_source_file
686,2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Expenditures,المنافع الاجتماعية,Total,Total,Q3,inferred_from_source_file
687,2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Expenditures,المنافع الاجتماعية,Total,Total,Q3,inferred_from_source_file
688,2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Expenditures,المنافع الاجتماعية,Total,Total,Q3,inferred_from_source_file
689,2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Expenditures,المنافع الاجتماعية,Total,Total,Q4,inferred_from_source_file
690,2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Expenditures,المنافع الاجتماعية,Total,Total,Q4,inferred_from_source_file
691,2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Expenditures,المنافع الاجتماعية | Social Benefits,Total,Total,Q4,inferred_from_source_file
692,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,المنح,Column_2,Column_2,Q1,inferred_from_source_file
693,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,المنح,Column_3,Column_3,Q1,inferred_from_source_file
694,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,المنح,Column_4,Column_4,Q1,inferred_from_source_file
695,2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Expenditures,المنح,Total,Total,Q3,inferred_from_source_file
696,2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Expenditures,المنح,Total,Total,Q3,inferred_from_source_file
697,2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Expenditures,المنح,Total,Total,Q3,inferred_from_source_file
698,2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Expenditures,المنح,Total,Total,Q4,inferred_from_source_file
699,2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Expenditures,المنح,Total,Total,Q4,inferred_from_source_file
700,2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Expenditures,المنح | Grants,Total,Total,Q4,inferred_from_source_file
701,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,الموارد الاقتصادية | Economic Resources,Column_2,Column_2,Q1,inferred_from_source_file
702,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,الموارد الاقتصادية | Economic Resources,Column_3,Column_3,Q1,inferred_from_source_file
703,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,الموارد الاقتصادية | Economic Resources,Column_4,Column_4,Q1,inferred_from_source_file
704,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,الموارد الاقتصادية | Economic Resources,Column_6,Column_6,Q1,inferred_from_source_file
705,2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Expenditures,الموارد الاقتصادية | Economic Resources,Total,Total,Q3,inferred_from_source_file
706,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,تعويضات العاملين,Column_2,Column_2,Q1,inferred_from_source_file
707,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,تعويضات العاملين,Column_3,Column_3,Q1,inferred_from_source_file
708,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,تعويضات العاملين,Column_4,Column_4,Q1,inferred_from_source_file
709,2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Expenditures,تعويضات العاملين,Total,Total,Q3,inferred_from_source_file
710,2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Expenditures,تعويضات العاملين,Total,Total,Q3,inferred_from_source_file
711,2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Expenditures,تعويضات العاملين,Total,Total,Q3,inferred_from_source_file
712,2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Expenditures,تعويضات العاملين,Total,Total,Q4,inferred_from_source_file
713,2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Expenditures,تعويضات العاملين,Total,Total,Q4,inferred_from_source_file
714,2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Expenditures,تعويضات العاملين | Compensation of Employees,Total,Total,Q4,inferred_from_source_file
715,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,مصروفات أخرى,Column_2,Column_2,Q1,inferred_from_source_file
716,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,مصروفات أخرى,Column_3,Column_3,Q1,inferred_from_source_file
717,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,مصروفات أخرى,Column_4,Column_4,Q1,inferred_from_source_file
718,2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Expenditures,مصروفات أخرى,Total,Total,Q3,inferred_from_source_file
719,2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Expenditures,مصروفات أخرى,Total,Total,Q3,inferred_from_source_file
720,2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Expenditures,مصروفات أخرى,Total,Total,Q3,inferred_from_source_file
721,2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Expenditures,مصروفات أخرى,Total,Total,Q4,inferred_from_source_file
722,2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Expenditures,مصروفات أخرى,Total,Total,Q4,inferred_from_source_file
723,2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Expenditures,مصروفات أخرى | Other Expenses,Total,Total,Q4,inferred_from_source_file
724,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,نفقات التمويل,Column_2,Column_2,Q1,inferred_from_source_file
725,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,نفقات التمويل,Column_3,Column_3,Q1,inferred_from_source_file
726,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,نفقات التمويل,Column_4,Column_4,Q1,inferred_from_source_file
727,2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Expenditures,نفقات التمويل,Total,Total,Q3,inferred_from_source_file
